Publication Year	Author	Title	Publication Title	Url	Report name	Study name	Bilingual	Age (mo)	TE?	Discusses TEs?	Method	Metric	C/P	Study/Measurement	Langs	N	#TE	SD(#TE)	%TE	SD(%TE)	#TCV	SD(#TCV)	#TV	SD(#TV)	#TE(calc)	SD(#TE(calc))	#TCV(calc)	SD(#TCV(calc))	%TE(calc)	SD(%TE(calc))	%TE(either)	SD(%TE(either))	Other effects	Notes
2015	Bail, Amelie; Morini, Giovanna; Newman, Rochelle S.	Look at the gato! Code-switching in speech to toddlers	Journal of Child Language	https://www.cambridge.org/core/product/identifier/S0305000914000695/type/journal_article	Bail et al. (2015)	Bail et al. (2015)	1	17–24	O	1	CDI	vocab size	P		eng,spa	24	18		6.74		92.46	121.72	114.08	155.2	21.62	197.2379233	90.08		19.467878	214.8564446	6.74	214.8564446	TEs strongly correlated with TV (.971**) and TCV (.953**), and correlated with intra-sentential code-switching (.465*)	Range(#TE): 0–133; Range(%TE): 0–23.6
2015	Bilson, Samuel; Yoshida, Hanako; Tran, Crystal D.; Woods, Elizabeth A.; Hills, Thomas T.	Semantic facilitation in bilingual first language acquisition	Cognition	https://linkinghub.elsevier.com/retrieve/pii/S0010027715000633	Bilson et al. (2015)	Bilson et al. (2015)	1	6–92	O	1	CDI	vocab size	P		eng,spa,cmn,vie	181	178.92	74.72															TEs have higher associative indegree (t=17.42***) Bilinguals overproduce TEs compared to simulated means (<Z>=0.75***)	
2005	Bird, Elizabeth Kay-Raining; Cleave, Patricia; Trudeau, Natacha; Thordardottir, Elin; Sutton, Ann; Thorpe, Amy	The Language Abilities of Bilingual Children With Down Syndrome	American Journal of Speech-Language Pathology	http://pubs.asha.org/doi/10.1044/1058-0360%282005/019%29	Bird et al. (2005)	Bird et al. (2005)	1	26–45	O		CDI	vocab size	P		eng,fra	11	219.1	99.0			305.7	69.1							71.67157344	36.21085152	71.67157344	36.21085152		
2014	Bosch, Laura; Ramon-Casas, Marta	First translation equivalents in bilingual toddlers’ expressive vocabulary: Does form similarity matter?	International Journal of Behavioral Development	https://journals.sagepub.com/doi/10.1177/0165025414532559	Bosch & Ramon-Casas (2014)	Bosch & Ramon-Casas (2014)	1	18	O	1	vocab test	vocab size	P		spa,cat	24	19.73	10.26462371					75.4	56.5			51.4	57.42484219	38.38521401	47.30631284	38.38521401	47.30631284	Non-identical TEs could only be found in children with larger vocabularies (>45) (z=-2.3*)	
2013	Byers-Heinlein, Krista; Werker, Janet F.	Lexicon structure and the disambiguation of novel words: Evidence from bilingual infants	Cognition	https://linkinghub.elsevier.com/retrieve/pii/S0010027713001091	Byers-Heinlein & Werker (2013)	Byers-Heinlein & Werker (2013) – Production	1	17–18	IO	1	CDI; LWL	vocab size; disambiguation trial performance	P	Production	eng,cmn,yue	20			26	17	53	40	61	47	8	61.7170965	41		15.09433962	117.003258	26	17	Smaller %TE = better performance on zero-shot disambiguation (r=-.55*)	Range (%TE): 0–71
					Byers-Heinlein & Werker (2013)	Byers-Heinlein & Werker (2013) – Comprehension							C	Comprehension		20			46	14	260	68	341	112	81	131.0267148	321		31.15384615	51.04932632	46	14		
2016	Crivello, Cristina; Kuzyk, Olivia; Rodrigues, Monyka; Friend, Margaret; Zesiger, Pascal; Poulin-Dubois, Diane	The effects of bilingual growth on toddlers’ executive function	Journal of experimental child psychology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4631405/	Crivello et al. (2016)	Crivello et al. (2016) – Wave 1	1	24	I	1	EF tasks	performance	P	Wave 1	eng,fra	39	92.79	100.19	46.89	19	262.87	162.22							35.29881691	43.89966905	46.89	19	TE explained improvement in conflict tasks (t=3.32**), but not gift delay (t=-1.68) or multilocation task (t=1.94°)	
					Crivello et al. (2016)	Crivello et al. (2016) – Wave 2		31					P	Wave 2		39	182.95	134.77	57.75	25.05	457.92	142.62							39.95239343	31.95328608	57.75	25.05		
2008	David, Annabelle; Wei, Li	Individual Differences in the Lexical Development of French–English Bilingual Children	International Journal of Bilingual Education and Bilingualism	https://www.tandfonline.com/doi/full/10.1080/13670050802149200	David & Wei (2008)	David & Wei (2008)	1	12–36	O	1	CDI	vocab size	P		eng,fra	13																	%TE increased with age, with large variability at any age TEs influenced by language exposure (r=-.198)	Range (%TE): 0–82
2020	De Anda, Stephanie; Friend, Margaret	Lexical-Semantic Development in Bilingual Toddlers at 18 and 24 Months	Frontiers in Psychology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773918/	De Anda & Friend (2020)	De Anda & Friend (2020) – Test 1	1	17–21	I	1	LWL	priming	C	Test 1	eng,spa	32	113.13				279.19		371.14		91.95		339.14		40.52079229		40.52079229		TEs predicted lexical-semantic processing; positively correlated with priming in within-language trials (F=4.82*)	
					De Anda & Friend (2020)	De Anda & Friend (2020) – Test 2		23–27					C	Test 2		25	162.10				366.59		511.5		144.91		486.5		44.21833656		44.21833656			
2006	De Houwer, Annick; Bornstein, Marc H., De Coster, Sandrine	Early understanding of two words for the same thing: A CDI study of lexical comprehension in infant bilinguals	International Journal of Bilingualism	https://journals.sagepub.com/doi/10.1177/13670069060100030401	De Houwer & Bornstein (2006)	De Houwer & Bornstein (2006)	1	13	O	1	CDI	vocab size	C		fra,nld	31			17.60	15.20											17.60	15.20		
